course_id,term,day_of_week,timeslot,enrolled
C0098,T2024,Mon,15:00-16:00,1
C0099,T2022,Fri,13:00-14:00,98
C0099,T2023,Thu,08:00-09:00,75
C0099,T2024,Wed,14:00-15:00,75
C0100,T2022,Fri,14:00-15:00,26
C0100,T2023,Wed,12:00-13:00,60
C0100,T2024,Thu,09:00-10:00,47
C0101,T2022,Wed,09:00-10:00,65
C0101,T2023,Tue,13:00-14:00,85
C0101,T2024,Thu,13:00-14:00,68
C0102,T2022,Mon,15:00-16:00,79
C0102,T2023,Thu,08:00-09:00,64
C0102,T2024,Fri,13:00-14:00,55
C0103,T2022,Thu,09:00-10:00,64
C0103,T2023,Wed,11:00-12:00,91
C0103,T2024,Fri,11:00-12:00,79
C0104,T2022,Fri,14:00-15:00,25
C0104,T2023,Thu,11:00-12:00,29
C0104,T2024,Fri,10:00-11:00,40
C0105,T2022,Tue,14:00-15:00,57
C0105,T2023,Fri,15:00-16:00,34
C0105,T2024,Wed,10:00-11:00,47
C0106,T2022,Wed,08:00-09:00,26
C0106,T2023,Fri,13:00-14:00,48
C0106,T2024,Fri,15:00-16:00,16
C0107,T2022,Wed,11:00-12:00,39
C0107,T2023,Fri,13:00-14:00,34
C0107,T2024,Tue,11:00-12:00,33
C0108,T2022,Tue,13:00-14:00,85
C0108,T2023,Thu,14:00-15:00,70
C0108,T2024,Mon,10:00-11:00,68
C0109,T2022,Fri,08:00-09:00,94
C0109,T2023,Fri,13:00-14:00,88
C0109,T2024,Wed,09:00-10:00,96
C0110,T2022,Wed,14:00-15:00,69
C0110,T2023,Wed,10:00-11:00,65
C0110,T2024,Wed,09:00-10:00,77
C0111,T2022,Thu,15:00-16:00,84
C0111,T2023,Wed,15:00-16:00,63
C0111,T2024,Thu,09:00-10:00,86
C0112,T2022,Thu,09:00-10:00,49
C0112,T2023,Wed,09:00-10:00,55
C0112,T2024,Wed,14:00-15:00,57
C0113,T2022,Fri,12:00-13:00,48
C0113,T2023,Tue,09:00-10:00,51
C0113,T2024,Mon,11:00-12:00,25
C0114,T2022,Fri,15:00-16:00,45
C0114,T2023,Fri,11:00-12:00,45
C0114,T2024,Fri,14:00-15:00,41
C0115,T2022,Mon,09:00-10:00,36
C0115,T2023,Fri,14:00-15:00,52
C0115,T2024,Fri,09:00-10:00,65
C0116,T2022,Wed,08:00-09:00,95
C0116,T2023,Thu,15:00-16:00,62
C0116,T2024,Tue,09:00-10:00,74
C0117,T2022,Thu,14:00-15:00,76
C0117,T2023,Thu,09:00-10:00,68
C0117,T2024,Thu,13:00-14:00,67
C0118,T2022,Mon,11:00-12:00,36
C0118,T2023,Mon,08:00-09:00,30
C0118,T2024,Wed,10:00-11:00,52
C0119,T2022,Tue,13:00-14:00,62
C0119,T2023,Thu,09:00-10:00,66
C0119,T2024,Thu,15:00-16:00,63
C0120,T2022,Tue,15:00-16:00,62
C0120,T2023,Wed,11:00-12:00,88
C0120,T2024,Thu,13:00-14:00,75
C0121,T2022,Wed,11:00-12:00,45
C0121,T2023,Fri,12:00-13:00,37
C0121,T2024,Tue,11:00-12:00,12
C0122,T2022,Thu,14:00-15:00,71
C0122,T2023,Mon,09:00-10:00,47
C0122,T2024,Thu,12:00-13:00,74
C0123,T2022,Tue,12:00-13:00,83
C0123,T2023,Wed,14:00-15:00,76
C0123,T2024,Mon,15:00-16:00,72
C0124,T2022,Wed,13:00-14:00,80
C0124,T2023,Mon,10:00-11:00,70
C0124,T2024,Mon,08:00-09:00,68
C0125,T2022,Fri,09:00-10:00,83
C0125,T2023,Wed,11:00-12:00,113
C0125,T2024,Mon,14:00-15:00,107
C0126,T2022,Wed,11:00-12:00,65
C0126,T2023,Fri,12:00-13:00,68
C0126,T2024,Thu,12:00-13:00,62
C0127,T2022,Fri,11:00-12:00,64
C0127,T2023,Tue,08:00-09:00,50
C0127,T2024,Mon,09:00-10:00,83
C0128,T2022,Tue,10:00-11:00,52
C0128,T2023,Tue,12:00-13:00,33
C0128,T2024,Wed,14:00-15:00,65
C0129,T2022,Tue,15:00-16:00,41
C0129,T2023,Tue,12:00-13:00,14
C0129,T2024,Mon,09:00-10:00,26
C0130,T2022,Fri,09:00-10:00,70
C0130,T2023,Mon,13:00-14:00,64
C0130,T2024,Fri,09:00-10:00,80
C0131,T2022,Fri,14:00-15:00,64
C0131,T2023,Thu,12:00-13:00,67
C0131,T2024,Thu,14:00-15:00,80
C0132,T2022,Mon,15:00-16:00,58
C0132,T2023,Mon,10:00-11:00,38
C0132,T2024,Mon,13:00-14:00,57
C0133,T2022,Fri,13:00-14:00,67
C0133,T2023,Fri,12:00-13:00,85
C0133,T2024,Fri,15:00-16:00,87
C0134,T2022,Tue,14:00-15:00,55
C0134,T2023,Mon,15:00-16:00,74
C0134,T2024,Mon,09:00-10:00,66
C0135,T2022,Mon,13:00-14:00,63
C0135,T2023,Thu,09:00-10:00,38
C0135,T2024,Wed,08:00-09:00,61
C0136,T2022,Tue,09:00-10:00,79
C0136,T2023,Wed,09:00-10:00,81
C0136,T2024,Fri,12:00-13:00,74
C0137,T2022,Tue,08:00-09:00,52
C0137,T2023,Thu,08:00-09:00,39
C0137,T2024,Wed,12:00-13:00,45
C0138,T2022,Wed,12:00-13:00,38
C0138,T2023,Fri,10:00-11:00,31
C0138,T2024,Fri,13:00-14:00,41
C0139,T2022,Tue,08:00-09:00,64
C0139,T2023,Thu,15:00-16:00,50
C0139,T2024,Thu,08:00-09:00,49
C0140,T2022,Tue,10:00-11:00,70
C0140,T2023,Wed,10:00-11:00,66
C0140,T2024,Thu,09:00-10:00,70
C0141,T2022,Mon,10:00-11:00,44
C0141,T2023,Thu,13:00-14:00,27
C0141,T2024,Tue,13:00-14:00,49
C0142,T2022,Thu,10:00-11:00,64
C0142,T2023,Tue,12:00-13:00,49
C0142,T2024,Mon,14:00-15:00,35
C0143,T2022,Tue,13:00-14:00,95
C0143,T2023,Wed,14:00-15:00,76
C0143,T2024,Mon,09:00-10:00,63
C0144,T2022,Thu,10:00-11:00,39
C0144,T2023,Mon,12:00-13:00,42
C0144,T2024,Mon,12:00-13:00,38
C0145,T2022,Mon,11:00-12:00,57
C0145,T2023,Fri,12:00-13:00,64
C0145,T2024,Tue,10:00-11:00,58
C0146,T2022,Fri,10:00-11:00,52
C0146,T2023,Thu,15:00-16:00,58
C0146,T2024,Fri,14:00-15:00,62
C0147,T2022,Wed,13:00-14:00,47
C0147,T2023,Thu,08:00-09:00,42
C0147,T2024,Tue,12:00-13:00,56
C0148,T2022,Tue,15:00-16:00,58
C0148,T2023,Wed,10:00-11:00,24
C0148,T2024,Tue,08:00-09:00,55
C0149,T2022,Tue,08:00-09:00,88
C0149,T2023,Tue,13:00-14:00,72
C0149,T2024,Thu,08:00-09:00,84
C0150,T2022,Wed,11:00-12:00,72
C0150,T2023,Thu,10:00-11:00,92
C0150,T2024,Tue,13:00-14:00,69
C0151,T2022,Mon,15:00-16:00,42
C0151,T2023,Wed,15:00-16:00,17
C0151,T2024,Fri,08:00-09:00,41
C0152,T2022,Wed,11:00-12:00,58
C0152,T2023,Fri,11:00-12:00,62
C0152,T2024,Mon,11:00-12:00,59
C0153,T2022,Tue,14:00-15:00,83
C0153,T2023,Thu,15:00-16:00,69
C0153,T2024,Tue,15:00-16:00,78
C0154,T2022,Fri,09:00-10:00,49
C0154,T2023,Wed,11:00-12:00,38
C0154,T2024,Mon,14:00-15:00,64
C0155,T2022,Tue,09:00-10:00,1
C0155,T2023,Mon,15:00-16:00,6
C0155,T2024,Mon,15:00-16:00,1
C0156,T2022,Wed,14:00-15:00,72
C0156,T2023,Fri,15:00-16:00,84
C0156,T2024,Tue,14:00-15:00,83
C0157,T2022,Mon,14:00-15:00,32
C0157,T2023,Tue,13:00-14:00,50
C0157,T2024,Tue,10:00-11:00,28
C0158,T2022,Wed,13:00-14:00,38
C0158,T2023,Wed,09:00-10:00,46
C0158,T2024,Thu,14:00-15:00,53
C0159,T2022,Wed,10:00-11:00,51
C0159,T2023,Tue,11:00-12:00,40
C0159,T2024,Thu,09:00-10:00,38
C0160,T2022,Tue,13:00-14:00,44
C0160,T2023,Thu,14:00-15:00,55
C0160,T2024,Tue,13:00-14:00,55
C0161,T2022,Thu,11:00-12:00,26
C0161,T2023,Mon,08:00-09:00,29
C0161,T2024,Tue,12:00-13:00,16
C0162,T2022,Thu,15:00-16:00,71
C0162,T2023,Mon,09:00-10:00,40
C0162,T2024,Wed,13:00-14:00,45
C0163,T2022,Tue,10:00-11:00,63
C0163,T2023,Mon,10:00-11:00,81
C0163,T2024,Wed,12:00-13:00,69
C0164,T2022,Wed,14:00-15:00,23
C0164,T2023,Thu,10:00-11:00,38
C0164,T2024,Wed,09:00-10:00,1
C0165,T2022,Wed,11:00-12:00,41
C0165,T2023,Mon,15:00-16:00,60
C0165,T2024,Fri,08:00-09:00,73
C0166,T2022,Tue,10:00-11:00,54
C0166,T2023,Tue,08:00-09:00,38
C0166,T2024,Fri,13:00-14:00,53
C0167,T2022,Fri,15:00-16:00,1
C0167,T2023,Fri,13:00-14:00,8
C0167,T2024,Wed,12:00-13:00,2
C0168,T2022,Wed,12:00-13:00,78
C0168,T2023,Tue,15:00-16:00,92
C0168,T2024,Thu,15:00-16:00,85
C0169,T2022,Thu,08:00-09:00,95
C0169,T2023,Wed,13:00-14:00,103
C0169,T2024,Fri,14:00-15:00,95
C0170,T2022,Fri,14:00-15:00,85
C0170,T2023,Wed,15:00-16:00,88
C0170,T2024,Thu,10:00-11:00,64
C0171,T2022,Tue,10:00-11:00,50
C0171,T2023,Tue,13:00-14:00,66
C0171,T2024,Tue,12:00-13:00,52
C0172,T2022,Mon,13:00-14:00,30
C0172,T2023,Mon,13:00-14:00,6
C0172,T2024,Wed,15:00-16:00,24
C0173,T2022,Fri,11:00-12:00,75
C0173,T2023,Thu,14:00-15:00,71
C0173,T2024,Thu,11:00-12:00,65
C0174,T2022,Fri,12:00-13:00,66
C0174,T2023,Tue,12:00-13:00,50
C0174,T2024,Thu,14:00-15:00,34
C0175,T2022,Wed,15:00-16:00,42
C0175,T2023,Fri,15:00-16:00,35
C0175,T2024,Mon,12:00-13:00,54
C0176,T2022,Mon,09:00-10:00,34
C0176,T2023,Fri,10:00-11:00,41
C0176,T2024,Wed,11:00-12:00,44
C0177,T2022,Mon,12:00-13:00,94
C0177,T2023,Tue,12:00-13:00,94
C0177,T2024,Mon,12:00-13:00,100
C0178,T2022,Fri,11:00-12:00,66
C0178,T2023,Tue,14:00-15:00,53
C0178,T2024,Thu,10:00-11:00,65
C0179,T2022,Mon,15:00-16:00,30
C0179,T2023,Thu,11:00-12:00,5
C0179,T2024,Fri,09:00-10:00,28
C0180,T2022,Wed,11:00-12:00,20
C0180,T2023,Tue,13:00-14:00,32
C0180,T2024,Mon,14:00-15:00,23
C0181,T2022,Thu,14:00-15:00,66
C0181,T2023,Fri,09:00-10:00,74
C0181,T2024,Tue,13:00-14:00,96
C0182,T2022,Thu,09:00-10:00,66
C0182,T2023,Fri,13:00-14:00,69
C0182,T2024,Wed,12:00-13:00,69
C0183,T2022,Thu,11:00-12:00,53
C0183,T2023,Fri,08:00-09:00,54
C0183,T2024,Fri,08:00-09:00,74
C0184,T2022,Wed,10:00-11:00,63
C0184,T2023,Mon,09:00-10:00,42
C0184,T2024,Wed,11:00-12:00,44
C0185,T2022,Mon,11:00-12:00,83
C0185,T2023,Tue,10:00-11:00,76
C0185,T2024,Tue,10:00-11:00,59
C0186,T2022,Mon,10:00-11:00,68
C0186,T2023,Wed,12:00-13:00,66
C0186,T2024,Fri,08:00-09:00,55
C0187,T2022,Wed,11:00-12:00,74
C0187,T2023,Mon,08:00-09:00,55
C0187,T2024,Fri,10:00-11:00,73
C0188,T2022,Wed,13:00-14:00,47
C0188,T2023,Wed,13:00-14:00,38
C0188,T2024,Fri,13:00-14:00,36
C0189,T2022,Tue,10:00-11:00,1
C0189,T2023,Mon,13:00-14:00,1
C0189,T2024,Thu,15:00-16:00,6
C0190,T2022,Mon,15:00-16:00,62
C0190,T2023,Mon,13:00-14:00,62
C0190,T2024,Mon,12:00-13:00,90
C0191,T2022,Wed,12:00-13:00,58
C0191,T2023,Wed,11:00-12:00,59
C0191,T2024,Thu,11:00-12:00,47
C0192,T2022,Wed,11:00-12:00,67
C0192,T2023,Wed,15:00-16:00,81
C0192,T2024,Mon,15:00-16:00,52
C0193,T2022,Mon,15:00-16:00,62
C0193,T2023,Fri,10:00-11:00,43
C0193,T2024,Tue,12:00-13:00,48
C0194,T2022,Thu,15:00-16:00,48
C0194,T2023,Mon,08:00-09:00,31
C0194,T2024,Thu,09:00-10:00,49
C0195,T2022,Thu,13:00-14:00,69
C0195,T2023,Thu,11:00-12:00,62
C0195,T2024,Wed,11:00-12:00,56
C0196,T2022,Tue,15:00-16:00,43
C0196,T2023,Fri,13:00-14:00,31
C0196,T2024,Tue,12:00-13:00,59
C0197,T2022,Wed,14:00-15:00,18
C0197,T2023,Wed,09:00-10:00,8
C0197,T2024,Fri,09:00-10:00,26
C0198,T2022,Fri,10:00-11:00,36
C0198,T2023,Mon,14:00-15:00,65
C0198,T2024,Thu,14:00-15:00,44
C0199,T2022,Mon,13:00-14:00,52
C0199,T2023,Tue,15:00-16:00,51
C0199,T2024,Thu,08:00-09:00,58
