course_id,course_name,instructor,course_level,duration,room_type,historical_enrollment,expected_students,preferred_timeslots,equipment
C0172,Networks 378,Dr. Schultz E,UG,1,lecture,"[25, 14, 16]",21,Mon 15:00-16:00;Fri 12:00-13:00,
C0173,Algo 263,Dr. Singh L,UG,1,lecture,"[65, 57, 64]",73,Tue 09:00-10:00;Thu 14:00-15:00,"projector,computers"
C0174,AI 232,Dr. Ng K,UG,1,lecture,"[41, 47, 49]",46,,"smartboard,whiteboard"
C0175,Econ 259,Dr. Smith ^,PG,1,lecture,"[26, 32, 39]",32,Thu 09:00-10:00,"smartboard,projector"
C0176,Mgmt 266,Dr. Smith ^,UG,1,lab,"[38, 39, 39]",40,,"lab_kits,computers"
C0177,Algo 225,Dr. Müller P,UG,1,lab,"[100, 117, 82]",94,Mon 14:00-15:00;Thu 13:00-14:00,lab_kits
C0178,Stat 262,Dr. Singh k,UG,1,lecture,"[55, 55, 71]",50,,"lab_kits,projector"
C0179,Algo 387,Dr. Smith Y,PG,1,lecture,"[26, 30, 25]",25,,
C0180,Data 494,Dr. Mehta A,PG,1,lecture,"[21, 15, 18]",23,,lab_kits
C0181,Networks 457,Dr. Mehta l,UG,1,lecture,"[87, 63, 73]",67,,whiteboard
C0182,Networks 433,Dr. Garcia m,UG,1,lab,"[66, 54, 69]",47,Tue 15:00-16:00,projector
C0183,Data 426,Dr. Kumar D,UG,1,lecture,"[58, 45, 53]",51,,projector
C0184,Stat 357,Dr. Müller S,UG,1,lecture,"[52, 53, 67]",60,,
C0185,Opt 258,Dr. Kumar J,UG,1,lecture,"[66, 73, 73]",76,Tue 11:00-12:00,projector
C0186,Algo 400,Dr. Mehta l,UG,1,lecture,"[56, 58, 53]",84,Tue 11:00-12:00;Mon 11:00-12:00,lab_kits
C0187,Calc 408,Dr. Schultz r,UG,1,lecture,"[69, 67, 77]",66,,
C0188,Calc 371,Dr. Schultz E,UG,1,lecture,"[39, 39, 46]",38,Tue 09:00-10:00;Thu 08:00-09:00,"lab_kits,whiteboard"
C0189,Calc 287,Dr. Mehta W,PG,2,lab,"[10, 11, 5]",6,Mon 14:00-15:00;Wed 08:00-09:00,"smartboard,whiteboard"
C0190,Sys 445,Dr. Singh I,UG,1,lecture,"[59, 67, 68]",68,Mon 11:00-12:00,"smartboard,projector"
C0191,Networks 306,Dr. Garcia C,UG,1,lab,"[68, 60, 67]",53,,projector
C0192,Calc 347,Dr. Kumar g,UG,2,lecture,"[79, 93, 72]",77,Thu 12:00-13:00;Tue 12:00-13:00,"computers,whiteboard"
C0193,Econ 230,Dr. Singh R,UG,2,lecture,"[53, 46, 53]",58,,"smartboard,projector"
C0194,Sys 195,Dr. Singh Q,PG,1,lecture,"[38, 30, 34]",31,,"whiteboard,computers"
C0195,Data 375,Dr. Mehta n,UG,1,lab,"[49, 57, 39]",67,Mon 12:00-13:00;Wed 11:00-12:00,lab_kits
C0196,AI 374,Dr. Garcia C,UG,1,lab,"[52, 50, 43]",34,Fri 08:00-09:00,computers
C0197,Sys 118,Dr. Singh M,PG,1,lecture,"[31, 34, 21]",23,Wed 10:00-11:00,
C0198,Stat 411,Dr. Mehta n,UG,1,lecture,"[35, 58, 47]",47,Thu 11:00-12:00,"lab_kits,projector"
C0199,Opt 335,Dr. Schultz r,UG,1,lecture,"[51, 42, 54]",46,,whiteboard
